Identyfikator stanowiska,Identyfikator stacji,Wskaźnik,Wskaźnik - wzór,Wskaźnik - kod,Id wskaźnika
220,38,tlenek azotu,NO,NO,16
221,38,dwutlenek azotu,NO2,NO2,6
222,38,tlenki azotu,NOx,NOx,7
223,38,ozon,O3,O3,5
224,38,pył zawieszony PM10,PM10,PM10,3
25988,38,pył zawieszony PM2.5,PM2.5,PM2.5,69
407,71,pył zawieszony PM10,PM10,PM10,3
18036,71,benzo(a)piren w PM10,BaP(PM10),BaP(PM10),61
411,74,arsen (całk. depozycja),As(cdepoz),As(cdepoz),82
412,74,arsen w PM10,As(PM10),As(PM10),60
413,74,benzo(a)antracen (całk. depozycja),BaA(cdepoz),BaA(cdepoz),38
414,74,benzo(a)antracen w PM10,BaA(PM10),BaA(PM10),64
415,74,benzo(a)piren (całk. depozycja),BaP(c.depoz.),BaP(cdepoz),92
416,74,benzo(a)piren w PM10,BaP(PM10),BaP(PM10),61
417,74,benzo(b)fluoranten (całk. depozycja),BbF(cdepoz),BbF(cdepoz),39
418,74,benzo(b)fluoranten w PM10,BbF(PM10),BbF(PM10),65
419,74,benzo(j)fluoranten (całk. depozycja),BjF(cdepoz),BjF(cdepoz),43
420,74,benzo(j)fluoranten w PM10,BjF(PM10),BjF(PM10),68
421,74,benzo(k)fluoranten (całk. depozycja),BkF(cdepoz),BkF(cdepoz),40
422,74,benzo(k)fluoranten w PM10,BkF(PM10),BkF(PM10),66
423,74,wapń w PM2.5,Ca2+(PM2.5),Ca2+(PM2.5),47
424,74,kadm (całk. depozycja),Cd(cdepoz),Cd(cdepoz),80
425,74,kadm w PM10,Cd(PM10),Cd(PM10),57
426,74,chlorki w PM2.5,Cl-(PM2.5),Cl_(PM2.5),48
427,74,"dibenzo(a,h)antracen (całk. depozycja)",DBahA(cdepoz),DBahA(cdepoz),83
428,74,"dibenzo(a,h)antracen w PM10",DBahA(PM10),DBahA(PM10),63
429,74,wolny węgiel (EC) w PM2.5,EC(PM2.5),EC(PM2.5),52
430,74,rtęć (całk. depozycja),Hg(cdepoz),Hg(cdepoz),79
645,115,pył zawieszony PM2.5,PM2.5,PM2.5,69
