Kod stanowiska,Data,Wartość,id_stanowisk
DsCzerStraza-NO-1g,2026-09-01 00:00:00,0.5,49
DsCzerStraza-NO-1g,2026-08-31 23:00:00,0.7,49
DsCzerStraza-NO-1g,2026-08-31 22:00:00,0.6,49
DsCzerStraza-NO-1g,2026-08-31 21:00:00,0.6,49
DsCzerStraza-NO-1g,2026-08-31 20:00:00,0.6,49
DsCzerStraza-NO-1g,2026-08-31 19:00:00,0.6,49
DsCzerStraza-NO-1g,2026-08-31 18:00:00,0.8,49
DsCzerStraza-NO-1g,2026-08-31 17:00:00,0.8,49
DsCzerStraza-NO-1g,2026-08-31 16:00:00,0.8,49
DsCzerStraza-NO-1g,2026-08-31 15:00:00,1.1,49
DsCzerStraza-NO-1g,2026-08-31 14:00:00,0.8,49
DsCzerStraza-NO-1g,2026-08-31 13:00:00,1.2,49
DsCzerStraza-NO-1g,2026-08-31 12:00:00,1.2,49
DsCzerStraza-NO-1g,2026-08-31 11:00:00,0.9,49
DsCzerStraza-NO-1g,2026-08-31 10:00:00,1.1,49
DsCzerStraza-NO-1g,2026-08-31 09:00:00,1.3,49
DsCzerStraza-NO-1g,2026-08-31 08:00:00,1.3,49
DsCzerStraza-NO-1g,2026-08-31 07:00:00,0.7,49
DsCzerStraza-NO-1g,2026-08-31 06:00:00,0.8,49
DsCzerStraza-NO-1g,2026-08-31 05:00:00,0.6,49
DsCzerStraza-NO2-1g,2026-09-01 00:00:00,1.5,50
DsCzerStraza-NO2-1g,2026-08-31 23:00:00,1.6,50
DsCzerStraza-NO2-1g,2026-08-31 22:00:00,2.2,50
DsCzerStraza-NO2-1g,2026-08-31 21:00:00,2.5,50
DsCzerStraza-NO2-1g,2026-08-31 20:00:00,2.4,50
DsCzerStraza-NO2-1g,2026-08-31 19:00:00,1.8,50
DsCzerStraza-NO2-1g,2026-08-31 18:00:00,1.8,50
DsCzerStraza-NO2-1g,2026-08-31 17:00:00,1.9,50
DsCzerStraza-NO2-1g,2026-08-31 16:00:00,1.9,50
DsCzerStraza-NO2-1g,2026-08-31 15:00:00,1.5,50
DsCzerStraza-NO2-1g,2026-08-31 14:00:00,1.2,50
DsCzerStraza-NO2-1g,2026-08-31 13:00:00,1.8,50
DsCzerStraza-NO2-1g,2026-08-31 12:00:00,2.0,50
