Kod stanowiska,Data,Wartość,id_stanowisk
DsCzerStraza-NO-1g,2026-08-01 04:00:00,1.0,49
DsCzerStraza-NO-1g,2026-08-01 03:00:00,0.9,49
DsCzerStraza-NO-1g,2026-08-01 02:00:00,0.9,49
DsCzerStraza-NO-1g,2026-08-01 01:00:00,1.5,49
DsCzerStraza-NO-1g,2026-08-01 00:00:00,1.3,49
DsCzerStraza-NO-1g,2026-07-31 23:00:00,0.9,49
DsCzerStraza-NO-1g,2026-07-31 22:00:00,1.3,49
DsCzerStraza-NO-1g,2026-07-31 21:00:00,1.0,49
DsCzerStraza-NO-1g,2026-07-31 20:00:00,1.2,49
DsCzerStraza-NO-1g,2026-07-31 19:00:00,1.0,49
DsCzerStraza-NO-1g,2026-07-31 18:00:00,1.3,49
DsCzerStraza-NO-1g,2026-07-31 17:00:00,0.9,49
DsCzerStraza-NO-1g,2026-07-31 16:00:00,1.0,49
DsCzerStraza-NO-1g,2026-07-31 15:00:00,1.2,49
DsCzerStraza-NO-1g,2026-07-31 14:00:00,1.2,49
DsCzerStraza-NO-1g,2026-07-31 13:00:00,1.1,49
DsCzerStraza-NO-1g,2026-07-31 12:00:00,1.1,49
DsCzerStraza-NO-1g,2026-07-31 11:00:00,0.8,49
DsCzerStraza-NO-1g,2026-07-31 10:00:00,0.9,49
DsCzerStraza-NO-1g,2026-07-31 09:00:00,,49
DsCzerStraza-NO2-1g,2026-08-01 04:00:00,0.1,50
DsCzerStraza-NO2-1g,2026-08-01 03:00:00,0.3,50
DsCzerStraza-NO2-1g,2026-08-01 02:00:00,,50
DsCzerStraza-NO2-1g,2026-08-01 01:00:00,2.6,50
DsCzerStraza-NO2-1g,2026-08-01 00:00:00,2.3,50
DsCzerStraza-NO2-1g,2026-07-31 23:00:00,1.2,50
DsCzerStraza-NO2-1g,2026-07-31 22:00:00,1.4,50
DsCzerStraza-NO2-1g,2026-07-31 21:00:00,2.0,50
DsCzerStraza-NO2-1g,2026-07-31 20:00:00,5.7,50
DsCzerStraza-NO2-1g,2026-07-31 19:00:00,1.9,50
DsCzerStraza-NO2-1g,2026-07-31 18:00:00,5.1,50
DsCzerStraza-NO2-1g,2026-07-31 17:00:00,2.0,50
DsCzerStraza-NO2-1g,2026-07-31 16:00:00,1.1,50
DsCzerStraza-NO2-1g,2026-07-31 15:00:00,1.6,50
DsCzerStraza-NO2-1g,2026-07-31 14:00:00,1.6,50
DsCzerStraza-NO2-1g,2026-07-31 13:00:00,1.1,50
DsCzerStraza-NO2-1g,2026-07-31 12:00:00,1.6,50
DsCzerStraza-NO2-1g,2026-07-31 11:00:00,1.4,50
DsCzerStraza-NO2-1g,2026-07-31 10:00:00,2.5,50
DsCzerStraza-NO2-1g,2026-07-31 09:00:00,,50
DsCzerStraza-NOx-1g,2026-08-01 04:00:00,1.7,51
DsCzerStraza-NOx-1g,2026-08-01 03:00:00,1.7,51
